class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33
lay,0.18475,0.63208,0.22257,0.17105,0.63498,0.25922,0.17108,0.63381,0.25921,0.17129,0.63266,0.25902,0.17136,0.64204,0.23226,0.17172,0.64616,0.23218,0.1723,0.65055,0.23223,0.17725,0.64043,0.40363,0.17891,0.66487,0.27857,0.19996,0.63116,0.27577,0.20196,0.63888,0.23867,0.27618,0.63232,0.49241,0.22528,0.68445,0.17397,0.36146,0.66674,0.67586,0.1231,0.70892,-0.08206,0.45309,0.68099,0.83708,0.02796,0.73285,-0.2268,0.47323,0.68786,0.88389,0.00044,0.74043,-0.26342,0.47312,0.68901,0.86263,-0.0025,0.73844,-0.24959,0.46636,0.68894,0.83019,0.01203,0.73581,-0.22836,0.49976,0.67747,0.09669,0.44488,0.71879,-0.09642,0.64071,0.63172,-0.22975,0.46921,0.71764,-0.61552,0.78328,0.72259,-0.32131,0.62911,0.81508,-0.70138,0.79159,0.74689,-0.33747,0.66414,0.81757,-0.71072,0.88086,0.71748,-0.49316,0.68979,0.84656,-0.87193
lay,0.18167,0.6336,0.33843,0.17028,0.63472,0.37878,0.17148,0.63236,0.37876,0.17275,0.63002,0.37848,0.16774,0.64441,0.36065,0.16771,0.64858,0.36057,0.1679,0.65295,0.36065,0.17944,0.63339,0.51329,0.17655,0.66503,0.42841,0.20097,0.6298,0.38691,0.1977,0.64108,0.36079,0.28536,0.62662,0.59932,0.22785,0.68161,0.31123,0.36748,0.65699,0.91235,0.11849,0.70421,0.22854,0.43654,0.66326,1.32527,0.01623,0.72576,0.30053,0.4601,0.66445,1.41778,-0.01453,0.73761,0.30527,0.46243,0.6665,1.39774,-0.01675,0.73285,0.3093,0.45793,0.67186,1.32704,-0.00174,0.72903,0.30064,0.50074,0.65995,0.08767,0.44549,0.70764,-0.08759,0.68196,0.65205,-0.15515,0.54704,0.74641,-0.61099,0.87254,0.72232,-0.26598,0.75434,0.879,-0.81788,0.89964,0.744,-0.28531,0.79142,0.88304,-0.83851,0.96521,0.6873,-0.42798,0.79988,0.92403,-1.02321
lay,0.28178,0.64829,0.43663,0.26828,0.65224,0.47716,0.26922,0.65145,0.47714,0.27035,0.65058,0.47684,0.26518,0.6577,0.44555,0.26408,0.6609,0.44539,0.26332,0.66423,0.44542,0.27749,0.65846,0.62216,0.27063,0.67821,0.47487,0.29886,0.64893,0.49079,0.2942,0.65535,0.44608,0.38608,0.66042,0.73323,0.3124,0.70033,0.27759,0.46728,0.69214,1.08413,0.19727,0.72959,-0.08999,0.53099,0.70126,1.48409,0.09938,0.74715,-0.3316,0.55389,0.7029,1.58396,0.06767,0.75413,-0.37414,0.55698,0.70654,1.56102,0.06889,0.75317,-0.3565,0.55317,0.70827,1.48424,0.08306,0.75026,-0.33435,0.61412,0.71153,0.12948,0.54469,0.75024,-0.12918,0.79952,0.71743,-0.19162,0.66654,0.82359,-0.60186,0.99308,0.79279,-0.35855,0.87434,0.9818,-0.87806,1.00256,0.8162,-0.3823,0.91243,0.99273,-0.90411,1.11972,0.76971,-0.52611,0.96224,0.9703,-1.09324
lay,0.32551,0.66361,0.37432,0.312,0.66785,0.408,0.31279,0.66693,0.40792,0.31371,0.66604,0.40757,0.31005,0.67429,0.38656,0.30958,0.67801,0.38645,0.30938,0.68213,0.3865,0.32201,0.67393,0.5384,0.31887,0.69771,0.43709,0.34263,0.6629,0.42236,0.34034,0.67046,0.39149,0.4416,0.66882,0.61929,0.3627,0.71426,0.27651,0.51594,0.69954,0.89358,0.26435,0.74655,-0.06154,0.60001,0.71032,1.22879,0.17713,0.76117,-0.33532,0.61767,0.72346,1.30429,0.14856,0.76642,-0.38093,0.62127,0.72636,1.28083,0.14891,0.76412,-0.36839,0.60695,0.72089,1.22726,0.15877,0.76211,-0.34023,0.65973,0.72336,0.10226,0.58469,0.76069,-0.10198,0.85535,0.72069,-0.18267,0.70356,0.80957,-0.48194,1.0686,0.82664,-0.35899,0.91531,0.97705,-0.67393,1.07943,0.85793,-0.38225,0.93491,0.98192,-0.68834,1.17204,0.8033,-0.50826,0.98636,0.98016,-0.832
lay,0.19857,0.6783,0.3189,0.18686,0.6821,0.34853,0.18829,0.68111,0.34847,0.18995,0.67999,0.34818,0.18346,0.68769,0.33058,0.18268,0.69096,0.33045,0.18225,0.69444,0.3304,0.19762,0.68654,0.46455,0.19013,0.7103,0.37857,0.21659,0.67748,0.36046,0.21202,0.68385,0.33437,0.31636,0.67904,0.52086,0.23674,0.73824,0.27463,0.39151,0.68676,0.78401,0.15934,0.77934,0.00149,0.44031,0.6952,1.11738,0.0798,0.77968,-0.27612,0.4621,0.70706,1.18794,0.04814,0.78673,-0.30614,0.44952,0.6985,1.16998,0.05602,0.77588,-0.29422,0.44216,0.699,1.11716,0.06863,0.7725,-0.28046,0.53299,0.72276,0.0608,0.45308,0.7695,-0.06074,0.70893,0.69493,-0.22483,0.52527,0.79986,-0.50194,0.86447,0.8217,-0.39531,0.7606,0.90049,-0.65624,0.86459,0.86001,-0.41763,0.79472,0.90359,-0.66779,0.98015,0.82283,-0.54586,0.87338,0.94744,-0.81676
lay,0.10107,0.69273,0.33508,0.09137,0.69606,0.36708,0.09261,0.69481,0.36706,0.09413,0.69354,0.36681,0.08876,0.70271,0.34785,0.08822,0.70621,0.34773,0.08809,0.71003,0.34764,0.10422,0.70146,0.47512,0.09759,0.72881,0.38611,0.12047,0.69148,0.37099,0.11841,0.69938,0.34376,0.24349,0.68634,0.55008,0.14724,0.75561,0.31794,0.315,0.68523,0.85676,0.05959,0.78844,0.41727,0.32622,0.6927,1.26891,-0.00813,0.77005,0.69783,0.32076,0.70269,1.3443,-0.06105,0.78586,0.73566,0.31631,0.70664,1.34705,-0.03694,0.76632,0.73996,0.31449,0.69906,1.27832,-0.01693,0.7636,0.70093,0.44613,0.7237,0.09933,0.37509,0.77352,-0.09982,0.63714,0.70363,-0.11941,0.48955,0.72335,-0.48187,0.79141,0.82174,-0.3053,0.68604,0.8487,-0.65691,0.79493,0.8509,-0.32763,0.7008,0.87243,-0.66928,0.90869,0.83589,-0.41407,0.80099,0.87444,-0.76181
lay,0.0966,0.71947,0.60752,0.08309,0.72935,0.58122,0.08319,0.73274,0.58117,0.08332,0.73619,0.58108,0.08147,0.72299,0.56275,0.08059,0.72171,0.56271,0.07992,0.7205,0.56256,0.08637,0.74712,0.48295,0.08304,0.72523,0.40395,0.10867,0.72338,0.57924,0.10759,0.71548,0.55597,0.14313,0.78625,0.45656,0.15168,0.69605,0.21276,0.22757,0.76133,0.22678,0.25544,0.66797,0.12207,0.19139,0.75063,0.0344,0.19255,0.72033,0.22122,0.17726,0.75046,0.02456,0.18403,0.71017,0.25067,0.17215,0.74338,0.06631,0.17711,0.72536,0.26434,0.17873,0.74309,0.04413,0.18405,0.73281,0.23283,0.36811,0.79898,0.12303,0.36631,0.7374,-0.12351,0.57451,0.78523,0.13971,0.55331,0.71276,-0.16742,0.70004,0.88479,-0.18734,0.57478,0.84069,-0.49622,0.68966,0.91116,-0.23041,0.55427,0.87191,-0.52649,0.78673,0.90328,-0.2891,0.65798,0.88881,-0.54959
lay,0.11326,0.73298,0.56642,0.10116,0.73902,0.5285,0.10063,0.74269,0.52836,0.10014,0.74641,0.52838,0.10202,0.72805,0.545,0.10215,0.72433,0.54499,0.10228,0.72072,0.5448,0.10113,0.74774,0.36299,0.10494,0.71471,0.44018,0.12191,0.73726,0.50974,0.12279,0.72432,0.53251,0.14539,0.77575,0.221,0.18676,0.67144,0.33557,0.25483,0.76666,-0.02829,0.27225,0.70194,0.30417,0.29609,0.78239,-0.23704,0.30797,0.75768,0.36584,0.31041,0.78359,-0.2561,0.31017,0.76453,0.39308,0.30671,0.77564,-0.22427,0.30643,0.77958,0.38557,0.30455,0.77338,-0.22863,0.30659,0.78004,0.36405,0.37667,0.79062,-0.02479,0.39173,0.71928,0.02372,0.55317,0.80124,0.11358,0.54338,0.7222,0.12251,0.69884,0.81675,-0.54998,0.66016,0.75717,-0.49162,0.71283,0.81462,-0.62436,0.66224,0.76026,-0.55721,0.80576,0.8463,-0.71563,0.76672,0.77793,-0.62578
lay,0.11075,0.73539,0.30192,0.09691,0.74094,0.25354,0.09673,0.74381,0.2535,0.09664,0.74679,0.25345,0.09646,0.7329,0.26508,0.09602,0.73038,0.26505,0.09564,0.72798,0.26481,0.0996,0.74788,0.09686,0.09892,0.72423,0.14485,0.12094,0.73871,0.25491,0.12108,0.72855,0.26902,0.15797,0.76548,-0.0145,0.17896,0.67537,0.12279,0.27754,0.75103,-0.18921,0.27142,0.69189,0.09614,0.32669,0.74877,-0.32482,0.28365,0.73163,0.11205,0.33567,0.75119,-0.34452,0.28506,0.74071,0.13373,0.32246,0.74716,-0.31496,0.27683,0.75131,0.11777,0.31927,0.74401,-0.31766,0.27646,0.75089,0.10491,0.40487,0.76797,-0.07388,0.41087,0.70558,0.07328,0.59313,0.78698,0.02187,0.59193,0.74812,0.15835,0.78978,0.80724,-0.07361,0.7782,0.7662,0.09971,0.80852,0.7984,-0.08198,0.79797,0.75815,0.09343,0.88052,0.80905,-0.11384,0.84827,0.78164,0.04275
lay,0.09821,0.75762,0.33733,0.08646,0.76513,0.28755,0.08657,0.7685,0.28751,0.08681,0.77188,0.28747,0.08605,0.75616,0.29097,0.0859,0.75359,0.29098,0.08581,0.75121,0.29076,0.08961,0.77343,0.13554,0.08921,0.74878,0.14712,0.10792,0.76113,0.29361,0.10725,0.75114,0.29731,0.14652,0.79192,0.06513,0.17187,0.70338,0.07681,0.25802,0.77262,-0.10644,0.23676,0.72392,0.03494,0.27645,0.77506,-0.28489,0.25941,0.75115,0.08546,0.28156,0.77373,-0.30452,0.26217,0.75812,0.1001,0.27092,0.76814,-0.29148,0.25681,0.76733,0.09851,0.26961,0.7664,-0.28568,0.25648,0.76811,0.08525,0.4013,0.79256,-0.00423,0.40899,0.73833,0.00385,0.59725,0.81853,0.01425,0.61061,0.77967,0.00629,0.79671,0.84506,-0.00824,0.80023,0.79603,-0.00907,0.82014,0.841,-0.01197,0.81418,0.79756,-0.00955,0.88659,0.84149,-0.06426,0.87555,0.82361,-0.07604
lay,0.06569,0.76905,0.22793,0.05271,0.77522,0.18773,0.05258,0.77775,0.18767,0.05233,0.78023,0.18763,0.05167,0.76803,0.19433,0.05103,0.7659,0.19432,0.05044,0.76407,0.19406,0.05364,0.77939,0.07821,0.05289,0.76183,0.10389,0.07542,0.7706,0.19836,0.075,0.76302,0.20617,0.11616,0.79593,0.02391,0.14316,0.71731,0.06928,0.24047,0.75346,-0.16218,0.21892,0.73331,0.03492,0.27194,0.76405,-0.3712,0.24487,0.77734,0.0489,0.28268,0.7643,-0.39836,0.25076,0.78395,0.05608,0.27131,0.76112,-0.38708,0.2434,0.79403,0.04418,0.26797,0.75946,-0.3734,0.24202,0.79419,0.0429,0.37207,0.79982,-0.01202,0.3798,0.75101,0.0117,0.56676,0.82626,0.00442,0.57717,0.78797,0.02833,0.76426,0.85073,-0.02399,0.76183,0.80245,0.01075,0.78675,0.84389,-0.0299,0.7787,0.8015,0.00782,0.85252,0.85062,-0.10265,0.84153,0.81488,-0.07273
lay,0.16386,0.6909,0.31675,0.15144,0.69489,0.26242,0.15111,0.69744,0.26242,0.15089,0.70006,0.26239,0.15085,0.68608,0.28551,0.1502,0.68267,0.28546,0.14953,0.67949,0.28522,0.15142,0.69863,0.08578,0.15138,0.67386,0.18959,0.17304,0.69418,0.26262,0.17194,0.68324,0.29276,0.20033,0.7119,-0.04496,0.22442,0.62419,0.17793,0.30054,0.70141,-0.25503,0.31078,0.64305,0.18849,0.32564,0.70716,-0.42798,0.30852,0.67977,0.23893,0.32953,0.70836,-0.45419,0.31673,0.68844,0.26888,0.31913,0.70401,-0.41987,0.30998,0.69805,0.24521,0.31913,0.70187,-0.41922,0.31094,0.69826,0.23011,0.45389,0.71681,-0.10542,0.46365,0.65648,0.10486,0.63267,0.73896,-0.04052,0.63401,0.7093,0.15082,0.81968,0.74931,-0.15583,0.82686,0.72847,0.06878,0.84018,0.73435,-0.16451,0.84882,0.72121,0.05993,0.9088,0.77736,-0.20586,0.89647,0.76086,-0.00446
lay,0.11957,0.67693,0.51007,0.10844,0.68625,0.46401,0.10906,0.68992,0.46388,0.10989,0.69346,0.46388,0.10655,0.67649,0.4678,0.1059,0.67372,0.46765,0.10537,0.67112,0.46734,0.11405,0.69397,0.30114,0.10905,0.66651,0.31906,0.13014,0.67918,0.45993,0.12818,0.66875,0.4655,0.17739,0.71182,0.24071,0.18872,0.61732,0.17161,0.2989,0.69676,0.00051,0.25103,0.64373,0.02767,0.36414,0.69356,-0.21286,0.28085,0.67935,0.00818,0.3837,0.69178,-0.23143,0.28257,0.68461,0.02145,0.3788,0.68774,-0.21756,0.27866,0.69427,0.03391,0.3713,0.68596,-0.21412,0.27897,0.69648,0.01174,0.42886,0.72109,0.06019,0.42553,0.65168,-0.0613,0.62537,0.74622,0.16534,0.60064,0.67847,-0.03541,0.77124,0.78587,-0.28452,0.71293,0.72884,-0.41945,0.80649,0.80692,-0.34208,0.71264,0.74295,-0.46248,0.85227,0.78267,-0.46561,0.80967,0.75273,-0.56158
lay,0.06594,0.69676,0.27362,0.04946,0.70689,0.29393,0.04987,0.7083,0.29389,0.05062,0.70973,0.29376,0.04848,0.70753,0.24275,0.04815,0.70935,0.24272,0.04805,0.71122,0.24263,0.06307,0.72254,0.38709,0.05895,0.72316,0.15903,0.08519,0.69597,0.31144,0.08248,0.69792,0.24497,0.1826,0.7137,0.49621,0.118,0.72339,0.00333,0.2576,0.66153,0.35443,0.21658,0.64822,0.02247,0.17293,0.63984,0.09846,0.15477,0.634,0.32333,0.14837,0.63669,0.07606,0.13593,0.62883,0.35429,0.14209,0.64421,0.11176,0.13461,0.64163,0.36044,0.15006,0.64617,0.10128,0.14154,0.64612,0.3392,0.40332,0.72648,0.15161,0.35884,0.72734,-0.15187,0.56747,0.68635,0.09413,0.53169,0.6782,-0.28836,0.67649,0.82685,-0.02453,0.6204,0.84213,-0.42944,0.67527,0.85444,-0.03821,0.60534,0.8646,-0.43956,0.76167,0.84449,-0.0596,0.70546,0.87599,-0.45345
lay,0.04622,0.71791,0.18101,0.03122,0.7255,0.21712,0.03176,0.72538,0.21701,0.03262,0.72516,0.21692,0.03106,0.73053,0.17687,0.03133,0.73442,0.17679,0.032,0.73879,0.17662,0.04086,0.73747,0.37105,0.04368,0.7566,0.19511,0.0643,0.71573,0.23741,0.06247,0.72259,0.1858,0.16723,0.70899,0.46557,0.124,0.78367,0.04601,0.27371,0.67509,0.2933,0.21755,0.75538,-0.25015,0.18693,0.6407,0.01534,0.08762,0.7118,-0.37813,0.16726,0.63522,-0.0199,0.06256,0.69885,-0.40954,0.15648,0.63952,0.00309,0.05907,0.69946,-0.39224,0.15995,0.64363,0.01446,0.06734,0.70416,-0.37064,0.41162,0.73469,0.13931,0.36237,0.7749,-0.13908,0.60552,0.6887,-0.02713,0.47416,0.69381,-0.36188,0.70492,0.81578,-0.16164,0.61441,0.84052,-0.48025,0.71219,0.83798,-0.18029,0.60995,0.87126,-0.49046,0.80133,0.83618,-0.26663,0.71179,0.86458,-0.5663
lay,0.08205,0.7172,0.32406,0.06643,0.72109,0.34944,0.06649,0.7203,0.34939,0.06669,0.71946,0.34915,0.06595,0.72678,0.30634,0.06562,0.73036,0.30627,0.0653,0.73427,0.30606,0.07374,0.72717,0.46339,0.07029,0.75284,0.26673,0.09983,0.7154,0.36769,0.09983,0.72231,0.30963,0.20272,0.71122,0.56689,0.13423,0.77002,0.11813,0.2935,0.6696,0.70293,0.15247,0.80427,-0.26743,0.19667,0.6392,0.79431,0.05365,0.79906,-0.61109,0.17399,0.63152,0.82402,0.02973,0.79645,-0.6669,0.16317,0.63565,0.81322,0.02906,0.79113,-0.63647,0.16969,0.64019,0.79108,0.03732,0.78934,-0.606,0.43525,0.74189,0.14188,0.38604,0.76409,-0.14185,0.59874,0.70874,-0.00873,0.52299,0.68893,-0.35198,0.68042,0.83576,-0.1404,0.61294,0.85001,-0.51081,0.69709,0.87143,-0.15915,0.59811,0.87799,-0.52679,0.78869,0.85787,-0.2304,0.71352,0.88921,-0.59499
